Item Code,CPC Code,Item
547,'01353.01,Raspberries
549,'01351.02,Gooseberries
550,'01351.01,Currants
552,'01355.01,Blueberries
554,'01355.02,Cranberries
558,'01355.90,Berries nes
56,'0112,Maize
560,'01330,Grapes
564,'24212.02,Wine
567,'01221,Watermelons
568,'01229,Melons; other (inc.cantaloupes)
569,'01315,Figs
571,'01316,Mangoes; mangosteens; guavas
572,'01311,Avocados
574,'01318,Pineapples
577,'01314,Dates
587,'01359.01,Persimmons
591,'01359.02,Cashewapple
592,'01352,Kiwi fruit
60,'21691.02,Oil; maize
600,'01317,Papayas
603,'01319,Fruit; tropical fresh nes
619,'01359.90,Fruit; fresh nes
656,'01610,Coffee; green
661,'01640,Cocoa; beans
667,'01620,Tea
671,'01630,Maté
677,'01659,Hops
687,'01651,Pepper (piper spp.)
689,'01652,Chillies and peppers; dry
692,'01658,Vanilla
693,'01655,Cinnamon (cannella)
698,'01656,Cloves
702,'01653,Nutmeg; mace and cardamoms
71,'0116,Rye
711,'01654,Anise; badian; fennel; coriander
720,'01657,Ginger
723,'01699,Spices nes
748,'01930.01,Peppermint
75,'0117,Oats
754,'01930.02,Pyrethrum; dried
767,'01921.02,Cotton lint
773,'26190.01,Flax fibre and tow
777,'01929.02,Hemp tow waste
778,'01929.03,Kapok fibre
780,'01922.01,Jute
782,'01922.02,Bastfibres; other
788,'01929.04,Ramie
789,'01929.05,Sisal
79,'0118,Millet
800,'01929.06,Agave fibres nes
809,'01929.07,Manila fibre (abaca)
813,'01929.08,Coir
821,'01929.90,Fibre crops nes
826,'01970,Tobacco; unmanufactured
83,'0114,Sorghum
836,'01950.01,Rubber; natural
839,'03211,Gums; natural
866,'02111,Cattle
867,'21111.01,Meat; cattle
868,'21151,Offals; edible; cattle
869,'21512,Fat; cattle
882,'02211,Milk; whole fresh cow
885,'22120,Cream fresh
886,'22241.01,Butter; cow milk
887,'22241.02,Ghee; butteroil of cow milk
888,'22110.02,Milk; skimmed cow
889,'22222.01,Milk; whole condensed
89,'01192,Buckwheat
890,'22130.03,Whey; condensed
891,'22230.01,Yoghurt
894,'22221.01,Milk; whole evaporated
895,'22221.02,Milk; skimmed evaporated
896,'22222.02,Milk; skimmed condensed
897,'22211,Milk; whole dried
898,'22212,Milk; skimmed dried
899,'22230.04,Milk; dry buttermilk
900,'22130.02,Whey; dry
901,'22251.01,Cheese; whole cow milk
904,'22251.02,Cheese; skimmed cow milk
919,'02951.01,Hides; cattle; fresh
92,'01194,Quinoa
94,'01193,Fonio
946,'02112,Buffaloes
947,'21112,Meat; buffalo
948,'21152,Offals; edible; buffaloes
949,'21513,Fat; buffaloes
951,'02212,Milk; whole fresh buffalo
952,'22242.01,Butter; buffalo milk
953,'22242.02,Ghee; buffalo milk
955,'22252,Cheese; buffalo milk
957,'02951.03,Hides; buffalo; fresh
97,'01191,Triticale
976,'02122,Sheep
977,'21115,Meat; sheep
978,'21155,Offals; sheep;edible
979,'21514,Fat; sheep
982,'02291,Milk; whole fresh sheep
983,'22249.01,Butter and ghee; sheep milk
984,'22253,Cheese; sheep milk
987,'02941,Wool; greasy
995,'02953,Skins; sheep; fresh
